x, y, z
 0.732, 0.000, 0.610
 0.732, 0.000, 0.610
 0.793, 0.122, 0.732
 0.793, 0.122, 0.732
 0.793, 0.122, 0.732
 0.793, 0.122, 0.732
 0.793, 0.122, 0.732
 0.977, 0.366, 0.977
 0.977, 0.366, 0.977
 0.916, 0.427, 1.099
 0.916, 0.427, 1.099
 0.916, 0.427, 1.099
 0.732, 0.488, 1.160
 0.732, 0.488, 1.160
 0.793, 0.366, 1.282
 0.793, 0.366, 1.282
 0.732, -0.305, 1.404
 0.732, -0.305, 1.404
 1.343, -3.540, 1.038
 1.343, -3.540, 1.038
 1.343, -3.540, 1.038
 1.892, -5.798, 0.244
 1.892, -5.798, 0.244
 2.014, -5.188, 0.488
 2.014, -5.188, 0.488
 1.953, -4.028, 0.610
 1.953, -4.028, 0.610
 1.953, -4.028, 0.610
 1.770, -2.563, 0.854
 1.770, -2.563, 0.854
 1.465, -1.770, 1.160
 1.465, -1.770, 1.160
 1.465, -0.854, 1.343
 1.465, -0.854, 1.343
 1.282, 0.000, 1.709
 1.282, 0.000, 1.709
 1.282, 0.000, 1.709
 0.916, 0.610, 1.587
 0.916, 0.610, 1.587
 0.610, 1.038, 1.404
 0.610, 1.038, 1.404
 0.427, 1.404, 1.404
 0.427, 1.404, 1.404
 -0.061, 1.709, 1.465
 -0.061, 1.709, 1.465
 -0.061, 1.709, 1.465
 -0.061, 2.014, 1.282
 -0.061, 2.014, 1.282
 -0.061, 2.319, 1.221
 -0.061, 2.319, 1.221
 -0.305, 2.319, 1.221
 -0.305, 2.319, 1.221
 -0.122, 2.380, 1.099
 -0.122, 2.380, 1.099
 -0.122, 2.380, 1.099
 -0.183, 1.953, 0.977
 -0.183, 1.953, 0.977
 0.061, 1.953, 0.732
 0.061, 1.953, 0.732
 0.122, 1.709, 0.549
 0.122, 1.709, 0.549
 -0.061, 1.648, 0.305
 -0.061, 1.648, 0.305
 -0.061, 1.648, 0.305
 -0.183, 1.587, 0.305
 -0.183, 1.587, 0.305
 -0.244, 1.404, 0.305
 -0.244, 1.404, 0.305
