x, y, z
 0.343, -0.951, 0.051
 0.343, -0.953, 0.053
 0.343, -0.953, 0.053
 0.341, -0.951, 0.052
 0.341, -0.951, 0.052
 0.341, -0.951, 0.051
 0.341, -0.951, 0.051
 0.341, -0.951, 0.051
 0.342, -0.952, 0.053
 0.342, -0.952, 0.053
 0.341, -0.953, 0.055
 0.341, -0.953, 0.055
 0.342, -0.953, 0.054
 0.342, -0.953, 0.054
 0.342, -0.953, 0.054
 0.341, -0.952, 0.054
 0.341, -0.952, 0.054
 0.341, -0.952, 0.053
 0.341, -0.952, 0.053
 0.343, -0.953, 0.052
 0.343, -0.953, 0.052
 0.343, -0.952, 0.051
 0.343, -0.952, 0.051
 0.343, -0.952, 0.051
 0.341, -0.951, 0.051
 0.341, -0.951, 0.051
 0.340, -0.951, 0.049
 0.340, -0.951, 0.049
 0.340, -0.950, 0.048
 0.340, -0.950, 0.048
 0.342, -0.951, 0.049
 0.342, -0.951, 0.049
 0.342, -0.951, 0.049
 0.343, -0.951, 0.053
 0.343, -0.951, 0.053
 0.343, -0.952, 0.055
 0.343, -0.952, 0.055
 0.344, -0.953, 0.057
 0.344, -0.953, 0.057
 0.343, -0.953, 0.057
 0.343, -0.953, 0.057
 0.343, -0.953, 0.057
 0.344, -0.953, 0.054
 0.344, -0.953, 0.054
 0.344, -0.952, 0.053
 0.344, -0.952, 0.053
 0.344, -0.952, 0.051
 0.344, -0.952, 0.051
 0.344, -0.952, 0.050
 0.344, -0.952, 0.050
 0.344, -0.952, 0.050
 0.344, -0.951, 0.050
 0.344, -0.951, 0.050
 0.343, -0.951, 0.051
 0.343, -0.951, 0.051
 0.343, -0.951, 0.052
 0.343, -0.951, 0.052
 0.343, -0.951, 0.052
 0.343, -0.951, 0.054
 0.343, -0.951, 0.054
 0.344, -0.952, 0.056
 0.344, -0.952, 0.056
 0.342, -0.952, 0.056
 0.342, -0.952, 0.056
 0.344, -0.952, 0.056
 0.344, -0.952, 0.056
 0.344, -0.952, 0.056
 0.344, -0.954, 0.055
 0.344, -0.954, 0.055
 0.344, -0.952, 0.054
 0.344, -0.952, 0.054
 0.344, -0.952, 0.053
 0.344, -0.952, 0.053
 0.344, -0.952, 0.053
 0.344, -0.952, 0.054
 0.344, -0.952, 0.054
 0.342, -0.952, 0.052
 0.342, -0.952, 0.052
 0.343, -0.952, 0.051
 0.343, -0.952, 0.051
 0.342, -0.954, 0.053
 0.342, -0.954, 0.053
 0.342, -0.954, 0.053
 0.341, -0.952, 0.054
